=====================start
new message format: id=50, num=10010, content=TCYL
new message format: id=51, num=10086, content=CXGPRSTC
new message format: id=52, num=10001, content=702
new message format: id=53, num=10086, content=1091
new message format: id=54, num=10086, content=话费
new message format: id=55, num=10010, content=107
new message format: id=56, num=10086, content=查流量
new message format: id=57, num=10086, content=119
new message format: id=58, num=10010, content=110
new message format: id=59, num=10010, content= 2082
new message format: id=60, num=10010, content=查询流量
new message format: id=61, num=10010, content=704
new message format: id=62, num=10010, content=7011#201309
new message format: id=63, num=10086, content=162
new message format: id=64, num=10086, content=66
new message format: id=65, num=10010, content=5142
new message format: id=66, num=10086, content=1581
new message format: id=67, num=10001, content=199
new message format: id=68, num=10086, content=102
new message format: id=69, num=10086, content=103
new message format: id=70, num=10001, content=109
new message format: id=71, num=10086, content=105
new message format: id=72, num=10086, content=17*09#
   634,(山东莱芜)     中国联通联通3G      :   ID=27   10010,      412
   427,(辽宁盘锦)     中国移动神州行      :   ID=57   10086,      119
   554,(安徽凤台)     中国移动全球通      :   ID=64   10086,      66
   779,(广西北海)     中国移动动感地带    :   ID=69   10086,      103
   878,(云南楚雄)     中国电信电信        :   ID=67   10001,      199
   412,(辽宁鞍山)     中国移动全球通      :   ID=57   10086,      119
   838,(四川德阳)     中国联通联通3G      :   ID=61   10010,      704
   412,(辽宁鞍山)     中国移动动感地带    :   ID=57   10086,      119
   770,(广西防城港)   中国移动动感地带    :   ID=69   10086,      103
   437,(吉林辽源)     中国移动神州行      :   ID=20   10086,      CXSJLL
   573,(浙江嘉兴)     中国移动动感地带    :   ID=66   10086,      1581
   776,(广西百色)     中国移动全球通      :   ID=69   10086,      103
   357,(山西临汾)     中国移动神州行      :   ID=63   10086,      162
   934,(甘肃西峰)     中国联通联通2G      :   ID=35   10010,      CXLL
    21,(上海上海)     中国移动神州行      :   ID=53   10086,      1091
   755,(广东深圳)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   934,(甘肃西峰)     中国移动神州行      :   ID=71   10086,      105
   663,(广东揭阳)     中国移动全球通      :   ID=51   10086,      CXGPRSTC
   564,(安徽寿县)     中国联通联通2G      :   ID=65   10010,      5142
   576,(浙江台州)     中国移动神州行      :   ID=66   10086,      1581
   530,(山东荷泽)     中国联通联通3G      :   ID=27   10010,      412
   558,(安徽利辛)     中国移动全球通      :   ID=64   10086,      66
   752,(广东惠州)     中国电信电信        :   ID=52   10001,      702
   931,(甘肃兰州)     中国移动动感地带    :   ID=71   10086,      105
   774,(广西梧州)     中国电信电信        :   ID=70   10001,      109
   561,(安徽濉溪)     中国联通联通2G      :   ID=65   10010,      5142
   857,(贵州毕节)     中国联通联通3G      :   ID=26   10010,      1071
   453,(黑龙江牡丹江) 中国联通联通3G      :   ID=39   10010,      2082
   712,(湖北孝感)     中国联通联通3G      :   ID=59   10010,       2082
    24,(辽宁沈阳)     中国移动动感地带    :   ID=57   10086,      119
   632,(山东枣庄)     中国联通联通3G      :   ID=27   10010,      412
   954,(宁夏固原)     中国移动全球通      :   ID=72   10086,      17*09#
   876,(云南文山)     中国电信电信        :   ID=67   10001,      199
   592,(福建厦门)     中国联通联通2G      :   ID=35   10010,      CXLL
   719,(湖北十堰)     中国联通联通3G      :   ID=59   10010,       2082
   771,(广西南宁)     中国移动神州行      :   ID=69   10086,      103
   438,(吉林松原)     中国移动动感地带    :   ID=20   10086,      CXSJLL
   935,(甘肃金昌)     中国移动神州行      :   ID=71   10086,      105
   836,(四川康定)     中国联通联通3G      :   ID=61   10010,      704
   552,(安徽固镇)     中国移动动感地带    :   ID=64   10086,      66
   762,(广东河源)     中国移动动感地带    :   ID=51   10086,      CXGPRSTC
   358,(山西离石)     中国移动动感地带    :   ID=63   10086,      162
   953,(宁夏吴忠)     中国移动神州行      :   ID=72   10086,      17*09#
   935,(甘肃金昌)     中国联通联通2G      :   ID=35   10010,      CXLL
    22,(天津天津)     中国移动动感地带    :   ID=54   10086,      话费
   429,(辽宁葫芦岛)   中国移动动感地带    :   ID=57   10086,      119
   565,(安徽含山)     中国联通联通3G      :   ID=26   10010,      1071
   790,(江西新余)     中国移动全球通      :   ID=68   10086,      102
   716,(湖北荆沙)     中国联通联通2G      :   ID=60   10010,      查询流量
